Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
168,14.00,0,2,1,4.056991833,0,0,1,0,0,1,0,2,1,1,1,0,1,1,1,1,0,0,0,15.6,98
169,74.00,0,10,0,0.761004458,1,0,0,0,1,0,0,7,1,1,1,1,0,0,1,1,0,0,0,18,82
170,25.00,1,2,1,4.415467723,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,54,96
171,29.00,1,2,1,4.433145355,0,0,1,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,67.56,96
172,35.00,0,2,0,3.815318634,1,0,0,0,0,1,0,3,0.5,1,1,1,0,1,0,1,0,0,0,1.08,85
173,72.00,1,2,1,0.985505315,1,0,0,0,1,0,0,6,2,2,1,1,0,0,1,1,1,0,0,65.64,98
174,60.00,0,22,0,3.831948451,1,0,0,0,1,0,0,8,1,2,1,1,0,0,0,1,0,0,0,29.88,86
175,28.00,0,2,1,6.684859949,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,7.08,95
176,60.00,0,1,1,1.040819126,1,0,0,0,1,0,0,4,1,2,1,1,0,0,1,1,0,0,0,57.12,88
177,40.00,1,1,1,1.573836418,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,43.32,94
178,28.00,0,1,1,5.496122064,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,0,0,0,0,3.72,97
179,67.00,1,2,1,1.050331803,1,0,0,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,69.6,99
180,35.00,0,2,1,0.621524223,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.48,80
181,43.00,0,1,1,5.056936459,1,0,0,0,1,0,0,3,1,1,1,1,0,1,0,1,0,0,0,30.84,89
182,38.00,1,1,1,3.273801451,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,24.48,96
183,35.00,1,1,0,10.81929816,0,0,1,0,0,1,0,3,1.5,2,1,1,1,1,0,1,1,0,0,6.72,98
184,80.00,0,2,1,6.729344369,1,0,0,0,1,0,0,4,2,2,1,1,0,1,0,1,0,0,0,23.4,97
185,35.00,0,10,1,1.640278813,1,0,0,0,0,1,0,1,2,1,1,1,0,1,1,1,0,0,0,1.44,80
186,50.00,0,1,0,8.393136333,0,0,1,0,0,1,0,2,1.5,1,1,0,1,0,0,1,0,0,0,3,77
187,949.00,0,19,1,1.705720172,0,0,1,0,1,0,0,16,2.5,6,1,1,0,1,0,1,0,0,0,1.68,95
